step time temperature strxx stryy strzz lx ly lz
24300 2.430000 95.986987 -0.494254 -0.494791 -0.512962 34.404227 34.327186 34.583844 
24400 2.440000 95.883037 -0.497177 -0.492779 -0.513323 34.402250 34.325398 34.588327 
24500 2.450000 95.806218 -0.499857 -0.491244 -0.513045 34.401279 34.322919 34.592935 
24600 2.460000 95.690363 -0.502214 -0.490491 -0.512656 34.401230 34.319914 34.597448 
24700 2.470000 95.510478 -0.504089 -0.490690 -0.512385 34.401992 34.316651 34.601826 
24800 2.480000 95.293155 -0.505521 -0.491803 -0.511878 34.403398 34.313456 34.606112 
24900 2.490000 95.021709 -0.506887 -0.493688 -0.511022 34.405298 34.310643 34.610222 
25000 2.500000 94.602514 -0.508577 -0.496168 -0.510512 34.407667 34.308477 34.614037 
25100 2.510000 94.028141 -0.510508 -0.498762 -0.510733 34.410618 34.307163 34.617676 
25200 2.520000 93.497146 -0.511863 -0.500587 -0.511021 34.414234 34.306738 34.621391 
25300 2.530000 93.281153 -0.511634 -0.500846 -0.510284 34.418317 34.306939 34.625207 
25400 2.540000 93.495416 -0.509519 -0.499589 -0.507985 34.422321 34.307229 34.628768 
25500 2.550000 94.038460 -0.505974 -0.497654 -0.504589 34.425598 34.307088 34.631533 
25600 2.560000 94.710274 -0.501650 -0.495779 -0.501387 34.427654 34.306284 34.633122 
25700 2.570000 95.324061 -0.497130 -0.494346 -0.499652 34.428222 34.304836 34.633603 
25800 2.580000 95.749993 -0.492960 -0.493684 -0.499873 34.427234 34.302896 34.633483 
25900 2.590000 95.920031 -0.489722 -0.494119 -0.501626 34.424811 34.300729 34.633439 
26000 2.600000 95.848177 -0.487762 -0.495884 -0.503806 34.421272 34.298712 34.634002 
26100 2.610000 95.647494 -0.486909 -0.498834 -0.505129 34.417060 34.297301 34.635320 
26200 2.620000 95.455238 -0.486686 -0.502405 -0.504921 34.412555 34.296901 34.637096 
26300 2.630000 95.319607 -0.486873 -0.505916 -0.503541 34.407973 34.297725 34.638801 
26400 2.640000 95.217621 -0.487534 -0.508750 -0.501821 34.403456 34.299754 34.640028 
26500 2.650000 95.168353 -0.488625 -0.510415 -0.500115 34.399167 34.302755 34.640658 
26600 2.660000 95.248471 -0.489881 -0.510730 -0.498103 34.395254 34.306328 34.640698 
26700 2.670000 95.479436 -0.491050 -0.510059 -0.495628 34.391774 34.310009 34.640041 
26800 2.680000 95.736312 -0.492147 -0.509187 -0.493434 34.388696 34.313460 34.638527 
26900 2.690000 95.851531 -0.493290 -0.508779 -0.492549 34.385995 34.316612 34.636252 
27000 2.700000 95.805865 -0.494317 -0.508907 -0.493039 34.383688 34.319625 34.633671 
27100 2.710000 95.740883 -0.494926 -0.509075 -0.493881 34.381734 34.322682 34.631261 
27200 2.720000 95.778019 -0.495182 -0.508942 -0.493985 34.379989 34.325797 34.629142 
27300 2.730000 95.928825 -0.495410 -0.508597 -0.492894 34.378333 34.328866 34.627059 
27400 2.740000 96.189505 -0.495732 -0.507939 -0.490800 34.376755 34.331818 34.624598 
27500 2.750000 96.557659 -0.495973 -0.506540 -0.488538 34.375288 34.334543 34.621413 
27600 2.760000 96.925302 -0.496010 -0.504637 -0.487382 34.373903 34.336789 34.617444 
27700 2.770000 97.131530 -0.496010 -0.503095 -0.488082 34.372532 34.338381 34.613076 
27800 2.780000 97.115542 -0.496253 -0.502275 -0.490445 34.371160 34.339443 34.608951 
27900 2.790000 96.936158 -0.496776 -0.501801 -0.493867 34.369872 34.340225 34.605644 
28000 2.800000 96.689151 -0.497377 -0.501242 -0.497726 34.368764 34.340843 34.603522 
28100 2.810000 96.439656 -0.497899 -0.500622 -0.501335 34.367863 34.341270 34.602735 
28200 2.820000 96.226357 -0.498416 -0.500121 -0.503984 34.367140 34.341483 34.603197 
28300 2.830000 96.087495 -0.499107 -0.499630 -0.505243 34.366596 34.341525 34.604576 
28400 2.840000 96.067057 -0.499954 -0.498836 -0.505063 34.366289 34.341398 34.606390 
28500 2.850000 96.199037 -0.500639 -0.497677 -0.503641 34.366274 34.340998 34.608142 
28600 2.860000 96.461849 -0.500859 -0.496355 -0.501543 34.366493 34.340200 34.609402 
28700 2.870000 96.758128 -0.500800 -0.495081 -0.499661 34.366788 34.338948 34.609936 
28800 2.880000 96.972335 -0.501161 -0.493881 -0.498571 34.367063 34.337259 34.609819 
28900 2.890000 97.042697 -0.502560 -0.492768 -0.498219 34.367462 34.335158 34.609324 
29000 2.900000 96.936336 -0.505068 -0.492034 -0.498435 34.368342 34.332675 34.608708 
29100 2.910000 96.624336 -0.508147 -0.492101 -0.499374 34.370084 34.329940 34.608166 
29200 2.920000 96.179703 -0.510941 -0.492857 -0.500933 34.372884 34.327228 34.607950 
29300 2.930000 95.756079 -0.512709 -0.493664 -0.502604 34.376645 34.324777 34.608272 
29400 2.940000 95.443090 -0.513257 -0.494049 -0.504132 34.381014 34.322602 34.609174 
29500 2.950000 95.246280 -0.512855 -0.493916 -0.505423 34.385571 34.320559 34.610604 
