step time temperature strxx stryy strzz lx ly lz
22100 2.210000 316.948794 -0.998026 -1.008011 -1.019613 33.655984 34.140094 33.302178 
22200 2.220000 319.492881 -1.018448 -1.026778 -1.037322 33.609825 34.103855 33.253579 
22300 2.230000 321.606078 -1.039333 -1.041259 -1.052270 33.569546 34.073503 33.211140 
22400 2.240000 323.211730 -1.060171 -1.051759 -1.064942 33.535370 34.049186 33.175018 
22500 2.250000 324.428320 -1.078925 -1.059169 -1.074506 33.507521 34.031007 33.145346 
22600 2.260000 325.518988 -1.092658 -1.064347 -1.079460 33.486203 34.019038 33.122226 
22700 2.270000 326.620205 -1.099058 -1.067842 -1.079629 33.471563 34.013329 33.105706 
22800 2.280000 327.684602 -1.097764 -1.069149 -1.076384 33.463668 34.013911 33.095786 
22900 2.290000 328.732100 -1.090130 -1.066006 -1.070733 33.462502 34.020798 33.092426 
23000 2.300000 329.812566 -1.078030 -1.056489 -1.062762 33.467980 34.033952 33.095563 
23100 2.310000 330.869884 -1.062960 -1.041381 -1.051750 33.479969 34.053270 33.105111 
23200 2.320000 331.685495 -1.046535 -1.023199 -1.037212 33.498305 34.078588 33.120949 
23300 2.330000 331.886413 -1.030317 -1.004786 -1.020163 33.522809 34.109711 33.142920 
23400 2.340000 331.290794 -1.014089 -0.987663 -1.002271 33.553309 34.146443 33.170838 
23500 2.350000 330.215985 -0.995654 -0.970389 -0.984176 33.589631 34.188602 33.204512 
23600 2.360000 329.114046 -0.973362 -0.950788 -0.965144 33.631580 34.236007 33.243745 
23700 2.370000 328.186555 -0.947615 -0.927889 -0.944262 33.678917 34.288453 33.288334 
23800 2.380000 327.418880 -0.920004 -0.901483 -0.921358 33.731363 34.345696 33.338054 
23900 2.390000 326.641731 -0.892228 -0.872590 -0.896781 33.788617 34.407453 33.392655 
24000 2.400000 325.659455 -0.865242 -0.843445 -0.870644 33.850379 34.473415 33.451869 
24100 2.410000 324.479469 -0.838124 -0.815778 -0.842999 33.916352 34.543265 33.515408 
24200 2.420000 323.321448 -0.808876 -0.789273 -0.814606 33.986240 34.616705 33.582966 
24300 2.430000 322.305088 -0.777498 -0.762592 -0.786441 34.059719 34.693447 33.654225 
24400 2.440000 321.219567 -0.746265 -0.736282 -0.758864 34.136438 34.773198 33.728868 
24500 2.450000 319.807855 -0.717124 -0.711637 -0.732014 34.216045 34.855671 33.806585 
24600 2.460000 318.116745 -0.690560 -0.688195 -0.705748 34.298210 34.940591 33.887068 
24700 2.470000 316.367603 -0.665948 -0.665111 -0.679349 34.382632 35.027698 33.970017 
24800 2.480000 314.752515 -0.642176 -0.642384 -0.652157 34.469028 35.116734 34.055127 
24900 2.490000 313.401159 -0.618181 -0.619927 -0.624271 34.557125 35.207442 34.142078 
25000 2.500000 312.356924 -0.593450 -0.597265 -0.596607 34.646642 35.299564 34.230541 
25100 2.510000 311.559771 -0.568290 -0.574157 -0.570119 34.737289 35.392840 34.320185 
25200 2.520000 310.939775 -0.543635 -0.550452 -0.545060 34.828765 35.487000 34.410692 
25300 2.530000 310.423826 -0.520477 -0.526376 -0.521317 34.920774 35.581764 34.501755 
25400 2.540000 309.837513 -0.499450 -0.503091 -0.499012 35.013034 35.676847 34.593083 
25500 2.550000 309.017362 -0.480708 -0.481872 -0.478372 35.105288 35.771966 34.684399 
25600 2.560000 307.947485 -0.463850 -0.463129 -0.459355 35.197302 35.866866 34.775444 
25700 2.570000 306.735251 -0.448254 -0.446467 -0.441681 35.288865 35.961313 34.865975 
25800 2.580000 305.501344 -0.433441 -0.431088 -0.425173 35.379779 36.055102 34.955766 
25900 2.590000 304.318123 -0.419221 -0.416161 -0.409930 35.469855 36.148039 35.044603 
26000 2.600000 303.200526 -0.405610 -0.401294 -0.396040 35.558907 36.239934 35.132285 
26100 2.610000 302.098521 -0.392664 -0.386812 -0.383490 35.646757 36.330596 35.218627 
26200 2.620000 300.960194 -0.380365 -0.373320 -0.372066 35.733235 36.419836 35.303460 
26300 2.630000 299.815638 -0.368542 -0.361018 -0.361275 35.818173 36.507479 35.386629 
26400 2.640000 298.757071 -0.356980 -0.349547 -0.350681 35.901414 36.593360 35.467983 
26500 2.650000 297.835007 -0.345663 -0.338423 -0.340229 35.982798 36.677325 35.547376 
26600 2.660000 297.017314 -0.334808 -0.327564 -0.330070 36.062171 36.759223 35.624660 
26700 2.670000 296.234583 -0.324658 -0.317231 -0.320317 36.139379 36.838907 35.699691 
26800 2.680000 295.443077 -0.315304 -0.307690 -0.310981 36.214282 36.916232 35.772330 
26900 2.690000 294.648704 -0.306656 -0.298981 -0.301992 36.286746 36.991066 35.842443 
27000 2.700000 293.879248 -0.298603 -0.290956 -0.293321 36.356647 37.063285 35.909897 
27100 2.710000 293.133348 -0.291151 -0.283457 -0.285111 36.423866 37.132775 35.974566 
27200 2.720000 292.366534 -0.284442 -0.276489 -0.277623 36.488296 37.199428 36.036329 
27300 2.730000 291.521614 -0.278621 -0.270164 -0.271071 36.549837 37.263142 36.095074 
27400 2.740000 290.570204 -0.273729 -0.264546 -0.265543 36.608400 37.323823 36.150701 
27500 2.750000 289.516779 -0.269651 -0.259644 -0.261040 36.663910 37.381389 36.203124 
27600 2.760000 288.381108 -0.266160 -0.255489 -0.257496 36.716302 37.435764 36.252272 
27700 2.770000 287.197997 -0.263021 -0.252079 -0.254744 36.765521 37.486885 36.298087 
27800 2.780000 286.031899 -0.260066 -0.249236 -0.252490 36.811515 37.534697 36.340522 
27900 2.790000 284.955537 -0.257235 -0.246636 -0.250418 36.854237 37.579154 36.379536 
28000 2.800000 284.003026 -0.254620 -0.244039 -0.248362 36.893640 37.620215 36.415095 
28100 2.810000 283.166728 -0.252374 -0.241427 -0.246270 36.929681 37.657837 36.447160 
28200 2.820000 282.435844 -0.250553 -0.238911 -0.244077 36.962323 37.691978 36.475697 
28300 2.830000 281.814783 -0.249048 -0.236609 -0.241760 36.991536 37.722600 36.500669 
28400 2.840000 281.307507 -0.247679 -0.234596 -0.239428 37.017294 37.749664 36.522037 
28500 2.850000 280.895872 -0.246391 -0.232932 -0.237288 37.039572 37.773141 36.539764 
28600 2.860000 280.544877 -0.245311 -0.231639 -0.235534 37.058351 37.793004 36.553815 
28700 2.870000 280.236224 -0.244584 -0.230696 -0.234252 37.073611 37.809231 36.564162 
28800 2.880000 279.993806 -0.244171 -0.230018 -0.233410 37.085340 37.821807 36.570784 
28900 2.890000 279.863733 -0.243912 -0.229517 -0.232918 37.093530 37.830722 36.573667 
29000 2.900000 279.861215 -0.243788 -0.229166 -0.232757 37.098177 37.835967 36.572802 
29100 2.910000 279.950066 -0.244014 -0.229046 -0.233029 37.099279 37.837538 36.568186 
29200 2.920000 280.074696 -0.244841 -0.229311 -0.233902 37.096839 37.835433 36.559822 
29300 2.930000 280.191239 -0.246399 -0.230113 -0.235569 37.090869 37.829657 36.547723 
29400 2.940000 280.274443 -0.248704 -0.231569 -0.238194 37.081393 37.820222 36.531914 
29500 2.950000 280.322677 -0.251701 -0.233731 -0.241850 37.068445 37.807150 36.512434 
