step time dx dv
43800 21.900000 -0.023037 0.025478
43900 21.950000 -0.021093 0.051881
44000 22.000000 -0.017905 0.074944
44100 22.050000 -0.013677 0.093283
44200 22.100000 -0.008672 0.105903
44300 22.150000 -0.003192 0.112241
44400 22.200000 0.002445 0.112160
44500 22.250000 0.007921 0.105902
44600 22.300000 0.012941 0.094024
44700 22.350000 0.017243 0.077323
44800 22.400000 0.020609 0.056771
44900 22.450000 0.022874 0.033456
45000 22.500000 0.023928 0.008538
45100 22.550000 0.023721 -0.016786
45200 22.600000 0.022263 -0.041310
45300 22.650000 0.019623 -0.063847
45400 22.700000 0.015930 -0.083255
45500 22.750000 0.011367 -0.098480
45600 22.800000 0.006168 -0.108598
45700 22.850000 0.000605 -0.112885
45800 22.900000 -0.005016 -0.110877
45900 22.950000 -0.010375 -0.102451
46000 23.000000 -0.015158 -0.087878
46100 23.050000 -0.019072 -0.067866
46200 23.100000 -0.021873 -0.043542
46300 23.150000 -0.023380 -0.016401
46400 23.200000 -0.023495 0.011812
46500 23.250000 -0.022211 0.039252
46600 23.300000 -0.019612 0.064147
46700 23.350000 -0.015865 0.084953
46800 23.400000 -0.011205 0.100474
46900 23.450000 -0.005919 0.109936
47000 23.500000 -0.000319 0.112994
47100 23.550000 0.005275 0.109714
47200 23.600000 0.010554 0.100506
47300 23.650000 0.015238 0.086058
47400 23.700000 0.019087 0.067264
47500 23.750000 0.021909 0.045163
47600 23.800000 0.023567 0.020883
47700 23.850000 0.023981 -0.004392
47800 23.900000 0.023131 -0.029459
47900 23.950000 0.021059 -0.053117
48000 24.000000 0.017863 -0.074198
48100 24.050000 0.013700 -0.091598
48200 24.100000 0.008781 -0.104325
48300 24.150000 0.003360 -0.111547
48400 24.200000 -0.002272 -0.112664
48500 24.250000 -0.007800 -0.107377
48600 24.300000 -0.012904 -0.095758
48700 24.350000 -0.017278 -0.078298
48800 24.400000 -0.020652 -0.055922
48900 24.450000 -0.022810 -0.029957
49000 24.500000 -0.023615 -0.002042
49100 24.550000 -0.023012 0.026007
49200 24.600000 -0.021042 0.052361
49300 24.650000 -0.017833 0.075345
49400 24.700000 -0.013587 0.093582
49500 24.750000 -0.008570 0.106085
49600 24.800000 -0.003084 0.112299
49700 24.850000 0.002553 0.112096
49800 24.900000 0.008023 0.105724
49900 24.950000 0.013031 0.093745
50000 25.000000 0.017317 0.076961
50100 25.050000 0.020664 0.056345
50200 25.100000 0.022906 0.032988
50300 25.150000 0.023936 0.008051
50400 25.200000 0.023705 -0.017269
50500 25.250000 0.022223 -0.041766
50600 25.300000 0.019562 -0.064253
50700 25.350000 0.015850 -0.083591
50800 25.400000 0.011273 -0.098725
50900 25.450000 0.006063 -0.108738
51000 25.500000 0.000496 -0.112906
51100 25.550000 -0.005122 -0.110775
51200 25.600000 -0.010474 -0.102227
51300 25.650000 -0.015243 -0.087542
51400 25.700000 -0.019137 -0.067434
51500 25.750000 -0.021914 -0.043041
51600 25.800000 -0.023395 -0.015863
51700 25.850000 -0.023483 0.012352
51800 25.900000 -0.022173 0.039760
51900 25.950000 -0.019550 0.064590
52000 26.000000 -0.015783 0.085304
52100 26.050000 -0.011109 0.100715
52200 26.100000 -0.005813 0.110055
52300 26.150000 -0.000210 0.112990
52400 26.200000 0.005380 0.109591
52500 26.250000 0.010650 0.100275
52600 26.300000 0.015321 0.085734
52700 26.350000 0.019152 0.066867
52800 26.400000 0.021952 0.044713
52900 26.450000 0.023587 0.020403
53000 26.500000 0.023977 -0.004880
53100 26.550000 0.023103 -0.029931
53200 26.600000 0.021007 -0.053550
53300 26.650000 0.017791 -0.074570
53400 26.700000 0.013612 -0.091890
53500 26.750000 0.008680 -0.104518
53600 26.800000 0.003252 -0.111628
53700 26.850000 -0.002380 -0.112624
53800 26.900000 -0.007903 -0.107213
53900 26.950000 -0.012996 -0.095475
54000 27.000000 -0.017353 -0.077910
54100 27.050000 -0.020705 -0.055452
54200 27.100000 -0.022839 -0.029433
54300 27.150000 -0.023617 -0.001498
54400 27.200000 -0.022987 0.026536
54500 27.250000 -0.020992 0.052839
54600 27.300000 -0.017760 0.075744
54700 27.350000 -0.013497 0.093879
54800 27.400000 -0.008468 0.106265
54900 27.450000 -0.002976 0.112356
55000 27.500000 0.002660 0.112031
55100 27.550000 0.008124 0.105545
55200 27.600000 0.013121 0.093465
55300 27.650000 0.017391 0.076597
55400 27.700000 0.020718 0.055918
55500 27.750000 0.022937 0.032520
55600 27.800000 0.023944 0.007564
55700 27.850000 0.023688 -0.017751
55800 27.900000 0.022183 -0.042221
55900 27.950000 0.019500 -0.064658
56000 28.000000 0.015770 -0.083925
56100 28.050000 0.011178 -0.098969
56200 28.100000 0.005959 -0.108875
56300 28.150000 0.000388 -0.112926
56400 28.200000 -0.005229 -0.110671
56500 28.250000 -0.010572 -0.102001
56600 28.300000 -0.015327 -0.087204
56700 28.350000 -0.019202 -0.067001
56800 28.400000 -0.021955 -0.042540
56900 28.450000 -0.023410 -0.015324
57000 28.500000 -0.023471 0.012893
57100 28.550000 -0.022135 0.040267
57200 28.600000 -0.019488 0.065031
57300 28.650000 -0.015701 0.085654
57400 28.700000 -0.011012 0.100954
57500 28.750000 -0.005707 0.110173
57600 28.800000 -0.000101 0.112984
57700 28.850000 0.005486 0.109466
57800 28.900000 0.010747 0.100042
57900 28.950000 0.015403 0.085409
58000 29.000000 0.019216 0.066469
58100 29.050000 0.021995 0.044262
58200 29.100000 0.023606 0.019922
58300 29.150000 0.023972 -0.005368
58400 29.200000 0.023074 -0.030403
58500 29.250000 0.020956 -0.053982
58600 29.300000 0.017719 -0.074942
58700 29.350000 0.013524 -0.092180
58800 29.400000 0.008580 -0.104709
58900 29.450000 0.003145 -0.111706
59000 29.500000 -0.002489 -0.112580
59100 29.550000 -0.008006 -0.107046
59200 29.600000 -0.013088 -0.095190
59300 29.650000 -0.017428 -0.077521
59400 29.700000 -0.020758 -0.054980
59500 29.750000 -0.022867 -0.028908
59600 29.800000 -0.023618 -0.000954
59700 29.850000 -0.022961 0.027063
59800 29.900000 -0.020941 0.053317
59900 29.950000 -0.017687 0.076142
60000 30.000000 -0.013407 0.094174
