velocity_x speed
2.377447 3.296042
0.568090 1.638041
-2.027420 2.547160
-0.490796 0.895273
1.512705 2.189799
1.537919 2.511773
-0.838587 0.978545
-0.833999 1.236545
-2.288544 2.753161
0.775814 2.851699
0.467691 2.071929
1.339098 3.179328
0.045215 2.449826
1.447204 2.671670
0.135595 1.615053
-0.899474 1.707862
-0.397432 1.889848
-2.174606 2.547388
-0.340983 2.181501
0.918402 2.867879
0.918261 2.075072
-1.237842 2.650350
0.469507 1.485310
-0.884871 1.572661
-1.025846 1.486905
-0.806933 1.711960
-0.732026 2.111632
-0.549060 1.963404
0.370210 1.275823
-0.485951 0.975056
-0.611717 2.377395
-2.488467 2.703930
-1.466655 2.424719
0.891154 2.116330
-1.718135 1.935758
1.617879 2.294720
2.765800 3.196431
1.963667 3.067973
-1.408885 2.362862
2.959207 3.568412
1.094054 2.721121
-0.477757 1.117998
0.368452 1.350196
0.611301 1.647210
2.149929 2.824096
-1.636581 1.840655
-0.825659 0.930028
0.311519 0.742941
1.968026 2.937195
0.889795 2.558171
0.517876 1.276940
0.899141 1.341250
-0.802746 1.246187
-1.076717 1.635146
0.384785 0.946057
0.012118 2.308915
-0.277396 2.514196
0.331459 2.822657
0.060252 1.184920
-1.253633 2.488527
-0.917276 1.231667
1.636517 2.812606
-1.848330 1.974857
-0.646285 2.401004
-1.566159 2.024752
2.012784 2.694781
-0.480440 0.665951
-0.579744 1.102040
1.534983 2.017428
-2.002135 2.651716
0.005449 0.929834
-0.765770 1.301669
0.582249 0.597432
-0.603798 1.231016
1.591048 1.885401
2.600924 2.963525
0.548208 1.932043
1.396059 2.323473
-0.177470 1.310134
-1.074679 3.443216
-0.660786 2.906109
0.975908 1.921081
-0.633671 1.444745
-0.419239 2.321389
1.639878 2.151950
-1.130635 1.747818
-2.939255 3.676134
2.220568 2.470950
2.309840 2.373296
-0.941294 2.907164
-0.802312 2.072801
0.650422 1.883302
1.908883 2.271836
-0.804560 2.610124
-0.575581 2.127984
-1.442024 1.875024
0.374393 1.703840
-0.897128 1.788073
-0.072029 1.603969
2.315411 3.227002
-0.027383 0.868818
2.041807 2.933114
0.629792 0.960562
-0.800843 1.084127
-0.955235 2.263639
-0.120392 2.069983
-0.401862 1.301060
-0.445683 1.894523
-1.056292 2.280768
1.345365 2.249085
-0.651658 2.142444
-0.733959 4.263961
-0.920248 2.309137
-1.389030 3.610320
-1.044774 2.253244
0.076654 1.312248
-1.469129 2.689437
-0.212561 2.112223
-1.317473 1.806236
-1.619579 3.472011
1.503387 2.775829
-1.756962 3.175536
0.076064 2.026217
-1.710130 2.339198
-0.230049 0.676065
-0.193084 0.741826
0.916242 2.050685
-1.069829 1.138776
0.995582 1.316860
1.378924 2.693723
-0.521918 1.476527
1.904510 2.602707
0.258048 1.767481
-0.379335 1.674947
1.534551 2.409117
-0.165019 1.235675
-1.534631 2.561603
0.929127 1.553791
0.019430 2.623315
-0.576366 2.207107
-0.877008 1.345138
-0.341273 1.325479
2.681030 2.888612
-0.541633 2.674990
3.866072 3.955215
-2.436039 2.521164
-1.011040 3.436153
-0.131096 0.383495
2.349282 2.624701
0.731457 1.658818
-0.284728 0.674273
-0.754017 1.641510
-0.912149 1.958327
-0.100867 0.836451
0.876886 2.548479
-0.383788 0.641016
1.062881 1.735207
0.184250 2.269058
1.513407 1.884599
-0.782162 1.823506
1.587265 2.383504
0.920474 1.385575
-0.669018 1.933541
2.320011 2.900536
-1.430712 2.327596
1.977294 2.043599
-3.120623 4.133554
2.547138 2.606595
-0.214989 1.648404
-1.557248 1.953104
-1.031123 2.332221
-2.652751 2.769632
-1.466722 1.745040
-0.600666 3.275398
-0.909350 2.620427
-0.071958 2.016657
1.584745 1.994289
-0.842168 2.282797
-1.458490 2.296158
0.038054 0.297415
-1.272898 2.186914
0.399698 1.565385
-0.615197 1.592777
1.140595 2.856519
-0.413948 1.385870
-1.180959 2.661102
-0.671134 1.890091
0.428399 1.259188
2.135494 3.304143
1.175916 2.066421
1.252090 1.846447
1.090147 1.476592
0.294446 1.857452
0.108562 2.669142
0.820167 2.203596
-0.847134 1.183444
0.170413 1.324897
-0.987478 1.914395
0.775155 0.813408
1.097573 1.691881
-0.022326 0.454202
-0.393881 2.899731
-1.137662 2.825143
-2.149314 2.291843
0.557698 1.824882
-1.212811 2.889716
-1.066308 2.005312
-0.376797 1.827560
-0.945487 2.339353
-1.317146 1.382742
-2.000335 3.410242
-0.740183 2.055379
0.752944 1.192603
-0.060085 1.553706
-2.273004 2.554781
-1.004790 1.191592
-2.650477 2.911345
-0.901747 1.628152
1.104238 1.215282
-0.681687 1.181995
-1.005995 2.240742
-1.805158 3.480642
-0.867395 3.797985
-0.489614 1.663601
-1.920626 2.860904
1.360294 1.562465
0.578102 0.891078
0.877121 1.414872
1.308820 1.636894
-0.339920 1.281209
-1.478932 2.566877
-1.317462 3.064000
0.645588 1.342627
0.185358 1.711746
0.734747 1.322370
-1.649520 2.162181
-1.226194 1.268551
1.073684 2.705272
-2.482518 3.132341
0.044787 1.641663
1.493029 2.203486
-0.049887 0.834249
1.788808 2.033479
2.260093 3.639813
0.647080 0.692140
-0.314345 2.639461
-1.744941 2.461729
0.352372 2.814481
-0.755988 2.907877
0.200344 2.579735
2.078200 2.138650
1.156077 1.824809
-1.032098 3.065400
0.689650 1.597007
1.081725 1.430455
0.356233 1.350057
1.079762 2.400729
2.091141 2.655773
0.359581 0.877017
0.472971 0.515686
-0.901573 2.219973
-0.815090 2.399484
0.628265 1.273213
0.689377 2.659886
0.933890 1.217240
-0.626316 1.165763
1.771284 2.845649
1.057611 1.388893
-1.405225 1.713240
-0.220664 0.708061
0.066696 1.884247
0.152166 2.354658
-1.501238 1.669423
0.933650 1.744714
0.942594 1.520383
0.747437 1.882712
-0.036208 1.726882
-1.630709 1.743251
-0.062500 1.928456
-0.971370 2.033633
0.673029 2.223029
-1.425823 1.721150
1.391896 2.060772
-0.767739 2.026031
-0.852855 1.989549
0.404951 2.420437
0.791298 2.366014
0.498854 2.067677
2.086744 2.671257
-0.605185 1.797654
-0.685464 0.926999
1.793283 3.387329
2.386231 3.051068
1.115771 1.140983
-0.217199 2.119861
-1.091218 3.104356
0.047247 0.488318
0.461170 2.350557
1.461557 1.944032
0.440793 1.284642
0.805596 3.286469
-0.060946 1.566334
2.123185 2.173422
-2.151431 3.318434
0.633004 2.809522
1.336895 2.109546
0.009264 0.669541
0.341456 1.847864
2.422755 2.634505
0.798474 1.971321
1.531339 2.006983
0.925550 1.207265
